KA,Katni,Katni,"1,291,684","4,947",261
EN,Khandwa (East Nimar),Khandwa,"1,309,443","7,349",178
WN,Khargone (West Nimar),Khargone,"1,872,413","8,010",233
ML,Mandla,Mandla,"1,053,522","5,805",182
MS,Mandsaur,Mandsaur,"1,339,832","5,530",242
MO,Morena,Morena,"1,965,137","4,991",394
NA,Narsinghpur,Narsinghpur,"1,092,141","5,133",213
NE,Neemuch,Neemuch,"825,958","4,267",194
Not yet assigned,Niwari,Niwari,Survey Pending,Pending,Pending
PA,Panna,Panna,"1,016,028","7,135",142
RS,Raisen,Raisen,"1,331,699","8,466",157
RG,Rajgarh,Rajgarh,"1,546,541","6,143",251
RL,Ratlam,Ratlam,"1,454,483","4,861",299
RE,Rewa,Rewa,"2,363,744","6,314",374
SG,Sagar,Sagar,"2,378,295","10,252",272
ST,Satna,Satna,"2,228,619","7,502",297
SR,Sehore,Sehore,"1,311,008","6,578",199
SO,Seoni,Seoni,"1,378,876","8,758",157
SH,Shahdol,Shahdol,"1,064,989","6,205",172
SJ,Shajapur,Shajapur,"1,512,353","6,196",244
SP,Sheopur,Sheopur,"687,952","6,585",104
SV,Shivpuri,Shivpuri,"1,725,818","10,290",168
SI,Sidhi,Sidhi,"1,126,515","10,520",232
SN,Singrauli,Waidhan,"1,178,132","5,672",208
TI,Tikamgarh,Tikamgarh,"1,444,920","5,055",286
UJ,Ujjain,Ujjain,"1,986,864","6,091",356
UM,Umaria,Umaria,"643,579","4,062",158
VI,Vidisha,Vidisha,"1,458,212","7,362",198
Maharashtra (MH)[edit],State,,,,
AH,Ahmednagar,Ahmednagar,"4,543,083","17,048",266
AK,Akola,Akola,"1,818,617","5,429",321
AM,Amravati,Amravati,"2,887,826","12,235",237
AU,Aurangabad,Aurangabad,"3,695,928","10,107",365
BI,Beed,Beed,"2,585,962","10,693",242
BH,Bhandara,Bhandara,"1,198,810","3,890",293
BU,Buldhana,Buldhana,"2,588,039","9,661",268
CH,Chandrapur,Chandrapur,"2,194,262","11,443",192
DH,Dhule,Dhule,"2,048,781","8,095",285
GA,Gadchiroli,Gadchiroli,"1,071,795","14,412",74
GO,Gondia,Gondia,"1,322,331","5,431",253
HI,Hingoli,Hingoli,"1,178,973","4,526",244
JG,Jalgaon,Jalgaon,"4,224,442","11,765",359
JN,Jalna,Jalna,"1,958,483","7,718",255
KO,Kolhapur,Kolhapur,"3,874,015","7,685",504
LA,Latur,Latur,"2,455,543","7,157",343
MC,Mumbai City,Mumbai,"3,145,966",69,"20,038"
MU,Mumbai suburban,Bandra (East),"9,332,481",369,"20,925"
ND,Nanded,Nanded,"3,356,566","10,528",319
NB,Nandurbar,Nandurbar,"1,646,177","5,055",276
NG,Nagpur,Nagpur,"4,653,171","9,892",470
NS,Nashik,Nashik,"6,109,052","15,539",393
OS,Osmanabad,Osmanabad,"1,660,311","7,569",219
Not Yet Assigned,Palghar,Palghar,Survey Pending,Pending,Pending
PA,Parbhani,Parbhani,"1,835,982","6,511",295
PU,Pune,Pune,"9,426,959","15,643",603
RG,Raigad,Alibag,"2,635,394","7,152",368
RT,Ratnagiri,Ratnagiri,"1,612,672","8,208",196
SN,Sangli,Sangli,"2,820,575","8,572",329
ST,Satara,Satara,"3,003,922","10,475",287
SI,Sindhudurg,Oros,"848,868","5,207",163
SO,Solapur,Solapur,"4,315,527","14,895",290
TH,Thane,Thane,"11,060,148","9,558","1,157"
WR,Wardha,Wardha,"1,296,157","6,309",205
WS,Washim,Washim,"1,196,714","5,155",244
YA,Yavatmal,Yavatmal,"2,775,457","13,582",204
Manipur (MN)[edit],State,,,,
BI,Bishnupur,Bishnupur,"240,363",496,415
TH,Thoubal,Thoubal,"420,517",514,713
EI,Imphal East,Porompat,"452,661",710,555
WI,Imphal West,Lamphelpat,"514,683",519,847
SE,Senapati,Senapati,"354,772","3,269",116
UK,Ukhrul,Ukhrul,"183,115","4,547",31
CD,Chandel,Chandel,"144,028","3,317",37
CC,Churachandpur,Churachandpur,"271,274","4,574",50
TA,Tamenglong,Tamenglong,"140,143","4,391",25
Not yet assigned,Jiribam,Jiribam,Survey pending,Pending,Pending
KPI,Kangpokpi (Sadar Hills),Kangpokpi,Survey pending,Pending,Pending
KAK,Kakching,Kakching,Survey pending,Pending,Pending
Not yet assigned,Tengnoupal,Tengnoupal,Survey pending,Pending,Pending
Not yet assigned,Kamjong,Kamjong,Survey pending,Pending,Pending
Not yet assigned,Noney,Noney(Longmai),Survey pending,Pending,Pending
PZ,Pherzawl,Pherzawl,Survey pending,Pending,Pending
Meghalaya (ML)[edit],State,,,,
EG,East Garo Hills,Williamnagar,"317,618","2,603",121
EK,East Khasi Hills,Shillong,"824,059","2,752",292
Not Yet Assigned,East Jaintia Hills,Khliehriat,"122,436","2,115",58
Not Yet Assigned,North Garo Hills,Resubelpara,"118,325","1,113",106
RB,Ri Bhoi,Nongpoh,"258,380","2,378",109
SG,South Garo Hills,Baghmara,"142,574","1,850",77
Not Yet Assigned,South West Garo Hills,Ampati,Survey Pending,Pending,Pending
Not Yet Assigned,South West Khasi Hills,Mawkyrwat,"110,152","1,341",82
WG,West Jaintia Hills,Jowai,"270,352","1,693",160
WG,West Garo Hills,Tura,"642,923","3,714",173
WK,West Khasi Hills,Nongstoin,"385,601","5,247",73
Mizoram (MZ)[edit],State,,,,
AI,Aizawl,Aizawl,"404,054","3,577",113
CH,Champhai,Champhai,"125,370","3,168",39
KO,Kolasib,Kolasib,"83,054","1,386",60
LA,Lawngtlai,Lawngtlai,"117,444","2,519",46
LU,Lunglei,Lunglei,"154,094","4,572",34
MA,Mamit,Mamit,"85,757","2,967",28
SA,Saiha,Saiha,"56,366","1,414",40
SE,Serchhip,Serchhip,"64,875","1,424",46
Nagaland (NL)[edit],State,,,,
DI,Dimapur,Dimapur,"379,769",926,410
KI,Kiphire,Kiphire,"74,033","1,255",66
KO,Kohima,Kohima,"270,063","1,041",213
LO,Longleng,Longleng,"50,593",885,89
MK,Mokokchung,Mokokchung,"193,171","1,615",120
MN,Mon,Mon,"259,604","1,786",145
Not yet assigned,Noklak,Noklak,Survey pending,Pending,Pending
PE,Peren,Peren,"163,294","2,300",55
PH,Phek,Phek,"163,294","2,026",81
TU,Tuensang,Tuensang,"414,801","4,228",98
WO,Wokha,Wokha,"166,239","1,628",120
ZU,Zunheboto,Zunheboto,"141,014","1,255",112
Odisha (OD)[edit],State,,,,
AN,Angul,Angul,"1,271,703","6,347",199
BD,Boudh (Bauda),Boudh,"439,917","4,289",142
BH,Bhadrak,Bhadrak,"1,506,522","2,788",601
BL,Balangir,Balangir,"1,648,574","6,552",251
BR,Bargarh (Baragarh),Bargarh,"1,478,833","5,832",253
BW,Balasore,Balasore,"2,317,419","3,706",609
CU,Cuttack,Cuttack,"2,618,708","3,915",666
DE,Debagarh (Deogarh),Debagarh,"312,164","2,781",106
DH,Dhenkanal,Dhenkanal,"1,192,948","4,597",268
GN,Ganjam,Chhatrapur,"3,520,151","8,033",429
GP,Gajapati,Paralakhemundi,"575,880","3,056",133
JH,Jharsuguda,Jharsuguda,"579,499","2,202",274
JP,Jajpur,Panikoili,"1,826,275","2,885",630
JS,Jagatsinghpur,Jagatsinghpur,"1,136,604","1,759",681
KH,Khordha,Khordha,"2,246,341","2,888",799
KJ,Kendujhar (Keonjhar),Kendujhar,"1,802,777","8,336",217
KL,Kalahandi,Bhawanipatna,"1,573,054","8,197",199
KN,Kandhamal,Phulbani,"731,952","6,004",91
KO,Koraput,Koraput,"1,376,934","8,534",156
KP,Kendrapara,Kendrapara,"1,439,891","2,546",545
ML,Malkangiri,Malkangiri,"612,727","6,115",106
MY,Mayurbhanj,Baripada,"2,513,895","10,418",241
NB,Nabarangpur,Nabarangpur,"1,218,762","5,135",230
NU,Nuapada,Nuapada,"606,490","3,408",157
NY,Nayagarh,Nayagarh,"962,215","3,954",247
PU,Puri,Puri,"1,697,983","3,055",488
